fold,check/all,raise half,raise full,all in,steps
0.9933333333333333,0.006666666666666667,0.0,0.0,0.0,2048
1.0,0.0,0.0,0.0,0.0,4096
0.3142857142857143,0.3578571428571429,0.29428571428571426,0.0,0.03357142857142857,6144
0.052980132450331126,0.21771523178807947,0.3170529801324503,0.0,0.41225165562913907,8192
0.3333333333333333,0.3045977011494253,0.27370689655172414,0.08261494252873564,0.005747126436781609,10240
0.43618739903069464,0.19143780290791598,0.04119547657512116,0.31906300484652667,0.012116316639741519,12288
0.06465288818229994,0.24324324324324326,0.0005299417064122947,0.6629570747217806,0.028616852146263912,14336
0.041196388261851014,0.25733634311512416,0.31715575620767494,0.26297968397291194,0.12133182844243792,16384
0.20733173076923078,0.4639423076923077,0.13641826923076922,0.1658653846153846,0.026442307692307692,18432
0.1404833836858006,0.5976837865055388,0.20241691842900303,0.059415911379657606,0.0,20480
0.08723599632690542,0.6565656565656566,0.25528007346189163,0.0009182736455463728,0.0,22528
0.08922638822971049,0.5837683910773612,0.3260560037968676,0.0009492168960607499,0.0,24576
0.06768265351860152,0.5965934558493949,0.3357238906320036,0.0,0.0,26624
0.05242114615726344,0.5704131497112395,0.37716570413149714,0.0,0.0,28672
0.05220883534136546,0.5439535921463632,0.3886657742079429,0.015171798304328426,0.0,30720
0.0405040504050405,0.4446444644464446,0.400990099009901,0.11386138613861387,0.0,32768
